utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
6078,6078,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2757,26.067,the red one ?,does that look all right ? the red one ?,is that okay ? does that look all right ? the red one ?
6079,6079,MOT,Liz,9,oh: they're all the same now .,oh they're all the same now .,6,7,6,8,6,6,6,Liz/020202.cha,2760,26.067,yeah .,the red one ? yeah .,does that look all right ? the red one ? yeah .
6080,6080,MOT,Liz,9,"all as big as each_other , aren't they ?",all as big as each_other aren't they ?,8,9,10,10,11,10,8,Liz/020202.cha,2763,26.067,oh they're all the same now .,yeah . oh they're all the same now .,the red one ? yeah . oh they're all the same now .
6081,6081,MOT,Liz,9,my turn .,my turn .,2,2,2,2,2,2,2,Liz/020202.cha,2766,26.067,all as big as each_other aren't they ?,oh they're all the same now . all as big as each_other aren't they ?,yeah . oh they're all the same now . all as big as each_other aren't they ?
6082,6082,MOT,Liz,9,I'm gonna [: going to] put the green one on there .,I'm gonna put the green one on there .,8,10,9,10,9,9,8,Liz/020202.cha,2769,26.067,my turn .,all as big as each_other aren't they ? my turn .,oh they're all the same now . all as big as each_other aren't they ? my turn .
6083,6083,MOT,Liz,9,oh: now that one's the biggest .,oh now that one's the biggest .,6,8,8,8,8,8,6,Liz/020202.cha,2782,26.067,I'm gonna put the green one on there .,my turn . I'm gonna put the green one on there .,all as big as each_other aren't they ? my turn . I'm gonna put the green one on there .
6084,6084,MOT,Liz,9,I'm gonna [: going to] put the red one on there .,I'm gonna put the red one on there .,8,10,9,10,9,9,8,Liz/020202.cha,2785,26.067,oh now that one's the biggest .,I'm gonna put the green one on there . oh now that one's the biggest .,my turn . I'm gonna put the green one on there . oh now that one's the biggest .
6085,6085,MOT,Liz,9,oh: .,oh .,1,1,1,1,1,1,1,Liz/020202.cha,2791,26.067,I'm gonna put the red one on there .,oh now that one's the biggest . I'm gonna put the red one on there .,I'm gonna put the green one on there . oh now that one's the biggest . I'm gonna put the red one on there .
6086,6086,MOT,Liz,9,now they're all_gone .,now they're all_gone .,4,4,4,6,4,4,4,Liz/020202.cha,2794,26.067,oh .,I'm gonna put the red one on there . oh .,oh now that one's the biggest . I'm gonna put the red one on there . oh .
6087,6087,MOT,Liz,9,yeah .,yeah .,1,1,1,1,1,1,1,Liz/020202.cha,2800,26.067,now they're all_gone .,oh . now they're all_gone .,I'm gonna put the red one on there . oh . now they're all_gone .
6088,6088,MOT,Liz,9,right okay .,right okay .,2,2,3,3,4,3,2,Liz/020202.cha,2806,26.067,yeah .,now they're all_gone . yeah .,oh . now they're all_gone . yeah .
6089,6089,MOT,Liz,9,mind your toes .,mind your toes .,3,3,3,3,3,3,3,Liz/020202.cha,2812,26.067,right okay .,yeah . right okay .,now they're all_gone . yeah . right okay .
6090,6090,MOT,Liz,9,"they hurt if you stand on them , don't they ?",they hurt if you stand on them don't they ?,9,12,9,9,11,9,9,Liz/020202.cha,2815,26.067,mind your toes .,right okay . mind your toes .,yeah . right okay . mind your toes .
