"utt_id","utt_id_role","speaker","child_id","session_id","utterance","utterance_clean","word_count","morph_count","utt_syllables_basic","utt_syllables_lenient","utt_syllables_strictY","utt_syllables_le","n_alpha_words","file","line_no"
22804,21624,"MOT","Violet",43,"puffin . 781073_782907","puffin.",1,1,2,2,2,2,1,"Violet/030119.cha",1352
22805,21625,"MOT","Violet",43,"nope [: no] , look at this guy . 787527_788770","nope look at this guy.",5,6,5,6,5,5,5,"Violet/030119.cha",1365
22806,21626,"MOT","Violet",43,"remember ?","remember?",1,1,3,3,3,3,1,"Violet/030119.cha",1374
22807,21627,"MOT","Violet",43,"pelican . 797473_799585","pelican.",1,1,3,3,3,3,1,"Violet/030119.cha",1392
22808,21628,"MOT","Violet",43,"great blue heron .","great blue heron.",3,3,4,4,4,4,3,"Violet/030119.cha",1406
22809,21629,"MOT","Violet",43,"yeah this says great blue heron right there .","yeah this says great blue heron right there.",8,8,9,10,9,9,8,"Violet/030119.cha",1412
22810,21630,"MOT","Violet",43,"yeah . 806992_808898","yeah.",1,1,1,1,1,1,1,"Violet/030119.cha",1415
22811,21631,"MOT","Violet",43,"do you know this one Max ? 818933_821305","do you know this one Max?",6,6,6,6,6,6,6,"Violet/030119.cha",1433
22812,21632,"MOT","Violet",43,"ready Max ? 833885_835695","ready Max?",2,2,3,3,3,3,2,"Violet/030119.cha",1457
22813,21633,"MOT","Violet",43,"let's do it this way . 835695_836712","let's do it this way.",5,6,5,5,5,5,5,"Violet/030119.cha",1460
22814,21634,"MOT","Violet",43,"what's that say ? 837938_838793","what's that say?",3,4,3,3,3,3,3,"Violet/030119.cha",1466
22815,21635,"MOT","Violet",43,"cor(morant) +... 841930_843850","cor.",1,2,1,1,1,1,1,"Violet/030119.cha",1472
22816,21636,"MOT","Violet",43,"now what's this ?","now what's this?",3,4,3,3,3,3,3,"Violet/030119.cha",1478
22817,21637,"MOT","Violet",43,"cormor(ant) +... 852962_854283","cormor.",1,2,2,2,2,2,1,"Violet/030119.cha",1487
22818,21638,"MOT","Violet",43,"yeah you just read a big word !","yeah you just read a big word!",7,8,7,7,7,7,7,"Violet/030119.cha",1496
22819,21639,"MOT","Violet",43,"cormorant .","cormorant.",1,1,3,3,3,3,1,"Violet/030119.cha",1502
22820,21640,"MOT","Violet",43,"how (a)bout this one ? 864935_866223","how bout this one?",4,4,4,4,4,4,4,"Violet/030119.cha",1508
22821,21641,"MOT","Violet",43,"sanderling . 868605_869725","sanderling.",1,2,3,3,3,3,1,"Violet/030119.cha",1516
22822,21642,"MOT","Violet",43,"the end . 878307_880150","the end.",2,2,2,2,2,2,2,"Violet/030119.cha",1532
22823,21643,"MOT","Violet",43,"crab .","crab.",1,1,1,1,1,1,1,"Violet/030119.cha",1538
22824,21644,"MOT","Violet",43,"this is , great blue crab , this is if you want to take this and measure if you find , if you find like a , say you find , say this was a +...","this is great blue crab this is if you want to take this and measure if you find if you find like a say you find say this was a.",30,37,31,34,31,31,30,"Violet/030119.cha",1556
22825,21645,"MOT","Violet",43,"a &-uh +... 896035_897723","a uh.",2,2,2,2,2,2,2,"Violet/030119.cha",1559
22826,21646,"MOT","Violet",43,"hermit crab , you wanna see how big is he +... 897723_901208","hermit crab you wanna see how big is he.",9,12,11,11,11,11,9,"Violet/030119.cha",1562
22827,21647,"MOT","Violet",43,"you put him on here and try to measure it . 901208_903380","you put him on here and try to measure it.",10,10,11,13,11,11,10,"Violet/030119.cha",1565
22828,21648,"MOT","Violet",43,"say hm: he's almost two inches wide . 903380_907393","say hm he's almost two inches wide.",7,8,9,10,9,9,7,"Violet/030119.cha",1568
22829,21649,"MOT","Violet",43,"right ?","right?",1,1,1,1,1,1,1,"Violet/030119.cha",1575
22830,21650,"MOT","Violet",43,"mm , he could live in there .","mm he could live in there.",6,7,6,8,6,6,6,"Violet/030119.cha",1607
22831,21651,"MOT","Violet",43,"yeah .","yeah.",1,1,1,1,1,1,1,"Violet/030119.cha",1613
22832,21652,"MOT","Violet",43,"and take this off .","and take this off.",4,4,4,5,4,4,4,"Violet/030119.cha",1622
22833,21653,"MOT","Violet",43,"can I ? 930202_931138","can I?",2,2,2,2,2,2,2,"Violet/030119.cha",1625
22834,21654,"MOT","Violet",43,"can you get it off ? 932257_933382","can you get it off?",5,5,5,5,5,5,5,"Violet/030119.cha",1631
22835,21655,"MOT","Violet",43,"should we take off your band-aid so I can check your boo_boo today ?","should we take off your band-aid so I can check your boo_boo today?",15,13,16,17,17,16,15,"Violet/030119.cha",1649
22836,21656,"MOT","Violet",43,"no we didn't , did we have a dog before ?","no we didn't did we have a dog before?",9,13,10,12,10,10,9,"Violet/030119.cha",1660
22837,21657,"MOT","Violet",43,"I'm gonna hafta take off the band-aid and check your boo_boo today and put a new band-aid on okay ? 959115_963400","I'm gonna hafta take off the band-aid and check your boo_boo today and put a new band-aid on okay?",22,21,26,27,28,26,22,"Violet/030119.cha",1666
22838,21658,"MOT","Violet",43,"we'll do it later then alright ?","we'll do it later then alright?",6,7,8,8,8,8,6,"Violet/030119.cha",1675
22839,21659,"MOT","Violet",43,"no . 968488_971157","no.",1,1,1,1,1,1,1,"Violet/030119.cha",1683
22840,21660,"MOT","Violet",43,"Joe used to have a big dog . 972785_976288","Joe used to have a big dog.",7,8,8,9,8,8,7,"Violet/030119.cha",1689
22841,1181,"FAT","Violet",43,"he did ? 977287_978097","he did?",2,3,2,2,2,2,2,"Violet/030119.cha",1695
22842,21661,"MOT","Violet",43,"scout , remember ? 978097_979525","scout remember?",2,3,4,4,4,4,2,"Violet/030119.cha",1698
22843,1182,"FAT","Violet",43,"oh yeah . 979525_980608","oh yeah.",2,2,2,2,2,2,2,"Violet/030119.cha",1701
22844,21662,"MOT","Violet",43,"it was ? 990218_991528","it was?",2,3,2,2,2,2,2,"Violet/030119.cha",1715
22845,21663,"MOT","Violet",43,"now what can you do xxx ? 992092_995763","now what can you do?",5,5,5,5,5,5,5,"Violet/030119.cha",1721
22846,21664,"MOT","Violet",43,"really ? 1007030_1008223","really?",1,1,2,2,2,2,1,"Violet/030119.cha",1747
22847,21665,"MOT","Violet",43,"should we have our breakfast ? 1008223_1010675","should we have our breakfast?",5,5,6,7,6,6,5,"Violet/030119.cha",1750
22848,21666,"MOT","Violet",43,"oh . 1020862_1021795","oh.",1,1,1,1,1,1,1,"Violet/030119.cha",1768
22849,21667,"MOT","Violet",43,"well the reason I wanted to do your finger is (be)cause I wanted daddy to see it . 1023647_1029125","well the reason I wanted to do your finger is cause I wanted daddy to see it.",17,19,22,23,22,24,17,"Violet/030119.cha",1775
22850,21668,"MOT","Violet",43,"so he can check on it . 1029125_1033532","so he can check on it.",6,6,6,6,6,6,6,"Violet/030119.cha",1778
22851,21669,"MOT","Violet",43,"doctor daddy .","doctor daddy.",2,2,4,4,4,4,2,"Violet/030119.cha",1789
22852,1183,"FAT","Violet",43,"yeah I did see that ball xxx .","yeah I did see that ball.",6,7,6,6,6,6,6,"Violet/030119.cha",1800
22853,21670,"MOT","Violet",43,"okay . 1041450_1042522","okay.",1,1,2,2,3,2,1,"Violet/030119.cha",1808
22854,21671,"MOT","Violet",43,"I'll leave it alone then . 1042522_1044758","I'll leave it alone then.",5,6,6,8,6,6,5,"Violet/030119.cha",1811
22855,21672,"MOT","Violet",43,"okay ? 1044758_1046945","okay?",1,1,2,2,3,2,1,"Violet/030119.cha",1815
22856,1184,"FAT","Violet",43,"yep [: yes] don't touch it okay ?","yep don't touch it okay?",5,6,6,6,7,6,5,"Violet/030119.cha",1818
