utt_id,child_id,utterance,word_count,file,line_no
287,kif,I am not .,3,kif.cha,3032
288,kif,that's because I'm &~sleef (.) .,4,kif.cha,3038
289,kif,I don't know which cookie I get .,7,kif.cha,3081
290,kif,no .,1,kif.cha,3087
291,kif,mommy I want you to put me in a cart (.) .,10,kif.cha,3093
292,kif,I I said (.) I said I want you to put me in a cart .,14,kif.cha,3103
293,kif,yes .,1,kif.cha,3109
294,kif,fin(d) (.) but momma (.) +...,3,kif.cha,3118
295,kif,this doesn't have any cookies .,5,kif.cha,3121
296,kif,awright [: alright] (.) .,1,kif.cha,3130
297,kif,oh (.) mom this doesn't have any cookies .,7,kif.cha,3133
298,kif,I don't see any (.) .,4,kif.cha,3136
299,kif,what ?,1,kif.cha,3142
300,kif,I want +...,2,kif.cha,3145
301,kif,what ?,1,kif.cha,3151
302,kif,(e)xcuse me (.) .,2,kif.cha,3154
303,kif,I don't like it .,4,kif.cha,3157
304,kif,my favorite (.) .,2,kif.cha,3171
305,kif,I'm not gonna get any .,5,kif.cha,3183
306,kif,ah: &-uh (.) .,2,kif.cha,3204
307,kif,mommy get some donuts .,4,kif.cha,3210
308,kif,right there .,2,kif.cha,3213
309,kif,yeah .,1,kif.cha,3219
310,kif,"I want , those [!] (.) .",3,kif.cha,3225
311,kif,yeah .,1,kif.cha,3231
312,kif,no those kind .,3,kif.cha,3234
313,kif,yeah .,1,kif.cha,3240
314,kif,no no no .,3,kif.cha,3250
315,kif,I want glazed (be)cause glaze my favorite one .,8,kif.cha,3253
316,kif,0 &=laugh I don't wanna get that !,6,kif.cha,3256
317,kif,mommy I want glazed (.) .,4,kif.cha,3263
318,kif,I like +...,2,kif.cha,3269
319,kif,(.) xxx .,1,kif.cha,3275
320,kif,"&~wu , well what &~el +...",4,kif.cha,3282
321,kif,"what else , well that was a yellow xxx &~u:m +...",10,kif.cha,3285
322,kif,what else can we get for the others (.) ?,8,kif.cha,3288
323,kif,xxx Ma: .,2,kif.cha,3303
324,kif,how come we're xxx getting anymore things here .,8,kif.cha,3309
325,kif,huh like tha(t) dere [: there] .,4,kif.cha,3318
326,kif,<the oth(er)> [/] the other boys an(d) girls .,7,kif.cha,3321
327,kif,I don't know .,3,kif.cha,3331
328,kif,don't put it with me .,5,kif.cha,3340
329,kif,an(d) don't put it on my lap .,7,kif.cha,3348
330,kif,hey we we pass some grapes .,6,kif.cha,3354
331,kif,I said we're getting grape +...,5,kif.cha,3358
332,kif,Hi_c ?,2,kif.cha,3367
333,kif,I want red .,3,kif.cha,3373
334,kif,yeah .,1,kif.cha,3379
335,kif,don't put it +...,3,kif.cha,3388
336,kif,don't put it on my lap (.) .,6,kif.cha,3394
337,kif,I am not (.) .,3,kif.cha,3400
338,kif,why you gonna get two ?,5,kif.cha,3406
339,kif,did they say you hafta get two of these [//] these two .,11,kif.cha,3415
340,kif,an(d) an(d) +...,2,kif.cha,3425
341,kif,what ?,1,kif.cha,3437
342,kif,what (.) ?,1,kif.cha,3443
343,kif,"come on mom (.) you don't get me enough of , of of +...",11,kif.cha,3449
344,kif,we need more (.) ?,3,kif.cha,3462
345,kif,(.) there's a xxx donut's there ?,5,kif.cha,3468
346,kif,why we +...,2,kif.cha,3471
347,kif,"cookies are down here , they don't have any cookies (.) .",9,kif.cha,3480
348,kif,they don't have any cookies they don't have any +...,9,kif.cha,3483
349,kif,I know (.) .,2,kif.cha,3489
350,kif,I wan(t) +...,2,kif.cha,3501
351,kif,I wan(t) +...,2,kif.cha,3507
352,kif,I wanna get those (.) .,4,kif.cha,3513
353,kif,yeah (.) .,1,kif.cha,3522
354,kif,not [!] two a &~th +...,4,kif.cha,3544
355,kif,not two a these .,4,kif.cha,3547
356,kif,yeah .,1,kif.cha,3554
357,kif,that (.) .,1,kif.cha,3560
358,kif,hm: no .,2,kif.cha,3566
359,kif,that right there .,3,kif.cha,3573
360,kif,that (.) .,1,kif.cha,3585
361,kif,that .,1,kif.cha,3591
362,kif,oh .,1,kif.cha,3616
363,kif,awright [: alright] .,1,kif.cha,3626
364,kif,I I hate (.) I I like em but I just don't wanna get it .,14,kif.cha,3639
365,kif,I want those .,3,kif.cha,3649
366,kif,I wan .,2,kif.cha,3658
367,kif,no .,1,kif.cha,3679
368,kif,I have .,2,kif.cha,3685
369,kif,hey Ma I like .,4,kif.cha,3697
370,kif,don't say that .,3,kif.cha,3703
371,kif,I hate that word (.) .,4,kif.cha,3706
372,kif,I'm not .,2,kif.cha,3715
373,kif,I am not .,3,kif.cha,3718
374,kif,I just don't like that word .,6,kif.cha,3721
375,kif,say it (.) .,2,kif.cha,3727
376,kif,here some coo (.) +...,3,kif.cha,3730
377,kif,&~sigh .,1,kif.cha,3739
378,kif,we're getting that for for the drink ?,7,kif.cha,3743
379,kif,we're not getting that one to drink .,7,kif.cha,3752
380,kif,cmon mom get that .,4,kif.cha,3758
381,kif,why ?,1,kif.cha,3765
382,kif,what are th(ese) +...,3,kif.cha,3789
383,kif,well I like these xxx now .,6,kif.cha,3793
384,kif,no +...,1,kif.cha,3802
385,kif,(.) awright [: alright] (.) where we gonna put these ?,6,kif.cha,3805
386,kif,he's gonna put em in a bag (.) .,7,kif.cha,3824
387,kif,one two three one five .,5,kif.cha,3831
388,kif,"mommy can I count one two three , four .",8,kif.cha,3844
389,kif,I: +...,1,kif.cha,3850
390,kif,two Hi_c !,3,kif.cha,3856
391,kif,I (.) +...,1,kif.cha,3859
392,kif,side by side (.) &~noise (.) .,4,kif.cha,3862
393,kif,and take one slide (.) .,4,kif.cha,3887
394,kif,no .,1,kif.cha,3890
395,kif,(.) cmon (.) .,1,kif.cha,3902
396,kif,Carl your bag is sticking out .,6,kif.cha,3905
397,kif,there .,1,kif.cha,3911
398,kif,"I said , very good (.) .",4,kif.cha,3917
399,kif,what's he gonna get (.) ?,4,kif.cha,3932
400,kif,mo:mmy (.) I xxx your hand again .,7,kif.cha,3935
401,kif,no we don't have it (.) .,5,kif.cha,3944
402,kif,yes I do .,3,kif.cha,3950
403,kif,yeah I want them .,4,kif.cha,3956
404,kif,I +...,1,kif.cha,3962
405,kif,I like gum (.) awright [: alright] I'll take [//] awright [: alright] okay I'll take that .,11,kif.cha,3965
406,kif,awright [: alright] (.) .,1,kif.cha,3971
407,kif,I want my favorite gum (.) .,5,kif.cha,3974
408,kif,what ?,1,kif.cha,3984
409,kif,hey that's like a girl .,5,kif.cha,3990
410,kif,xxx .,1,kif.cha,4039
411,kif,I wanna go xxx (.) ?,4,kif.cha,4054
412,kif,(.) I'm gonna go far .,4,kif.cha,4067
413,kif,yeah &=laugh .,2,kif.cha,4074
414,kif,what ?,1,kif.cha,4081
415,kif,awright [: alright] .,1,kif.cha,4087
416,kif,I'm going far .,3,kif.cha,4093
417,kif,&=laugh .,1,kif.cha,4105
418,kif,&=laugh .,1,kif.cha,4108
419,kif,&~noise .,1,kif.cha,4113
420,kif,(.) &~o:h mom you didn't tie my shoe (.) .,8,kif.cha,4115
421,kif,&~noise .,1,kif.cha,4122
422,kif,mommy I thought we going to there .,7,kif.cha,4168
423,kif,I'm going that way .,4,kif.cha,4177
424,kif,want +...,1,kif.cha,4181
425,kif,wait .,1,kif.cha,4187
426,kif,&~oo I'm goin(g) (.) +...,3,kif.cha,4193
427,kif,I xxx (.) that's a bi:g [!] street .,7,kif.cha,4197
428,kif,yes it is .,3,kif.cha,4200
429,kif,lots_of traffic (.) .,3,kif.cha,4203
430,kif,I hope I could have a bike .,7,kif.cha,4206
431,kif,bike .,1,kif.cha,4212
432,kif,yeah .,1,kif.cha,4218
433,kif,no I don't I have a big wheel .,8,kif.cha,4227
434,kif,I have a one two three four five .,8,kif.cha,4230
435,kif,no you only have three .,5,kif.cha,4233
436,kif,no I have a +...,4,kif.cha,4237
437,kif,I have +...,2,kif.cha,4244
438,kif,"I have &-um (.) you're not right , you're wrong .",8,kif.cha,4253
439,kif,ow ow .,2,kif.cha,4265
440,kif,I have a I have +...,5,kif.cha,4283
441,kif,prink@c i(t) ?,3,kif.cha,4329
442,kif,peink@c i(t) ?,3,kif.cha,4332
443,kif,yeah right .,2,kif.cha,4335
444,kif,I'm going far away .,4,kif.cha,4379
445,kif,I'm going far from you ?,5,kif.cha,4385
446,kif,I don't let you ?,4,kif.cha,4397
447,kif,&~lin .,1,kif.cha,4431
448,kif,&~yep .,1,kif.cha,4436
449,kif,&~a:w Kip .,3,kif.cha,4443
450,kif,Kip who are you (.) xxx (.) Kip .,6,kif.cha,4450
451,kif,(.) xxx &~ho .,2,kif.cha,4460
452,kif,&=cough xxx (.) .,2,kif.cha,4464
453,kif,(.) xxx [=! slightly crying out] (.) you you you two are the same .,8,kif.cha,4468
454,kif,here xxx cmon .,3,kif.cha,4476
455,kif,xxx &~sigh .,2,kif.cha,4482
456,kif,&~whoo &~oo:oo [=! sigh of relief] &-uh &-uh [=! sound of effort] you can't catch me .,9,kif.cha,4492
457,kif,&~ae:e .,2,kif.cha,4499
458,kif,I &~oo:h &~hah &~a:h &~hah !,7,kif.cha,4503
459,kif,you can't catch me (.) .,4,kif.cha,4509
460,kif,momma can't catch me (.) .,4,kif.cha,4513
461,kif,&~grunt .,1,kif.cha,4532
462,kif,I can get you .,4,kif.cha,4536
463,kif,you want me to get up here .,7,kif.cha,4540
464,kif,no you hafta get up this way .,7,kif.cha,4543
465,kif,you get up here (.) .,4,kif.cha,4552
466,kif,mommy you can't catch me .,5,kif.cha,4555
467,kif,&~nuh: &~aw .,2,kif.cha,4558
468,kif,xxx (.) &~grunt (.) xxx .,3,kif.cha,4560
469,kif,what's a matter ?,3,kif.cha,4561
470,kif,(.) vroom (.) .,1,kif.cha,4583
471,kif,oh wow (.) .,2,kif.cha,4596
472,kif,&~ee &~yahs (.) .,2,kif.cha,4599
473,kif,xxx (.) awright [: alright] push me .,4,kif.cha,4621
474,kif,xxx (.) push me or I ain't goin(g) (.) .,7,kif.cha,4627
475,kif,why ?,1,kif.cha,4636
476,kif,uhnuh [: negative sound] (.) .,1,kif.cha,4645
477,kif,awright [: alright] .,1,kif.cha,4652
478,kif,awright [: alright] .,1,kif.cha,4656
479,kif,I I xxx can't xxx get away from (.) +...,8,kif.cha,4659
480,kif,go .,1,kif.cha,4677
481,kif,xxx (.) climb up there I can't xxx .,7,kif.cha,4688
482,kif,why ?,1,kif.cha,4694
483,kif,(be)cause I'm [//] I can't [//] anyway .,5,kif.cha,4700
484,kif,why ?,1,kif.cha,4712
485,kif,what ?,1,kif.cha,4715
486,kif,no: (.) .,1,kif.cha,4721
487,kif,my mommy won't let me have dirt on my knuckles (.) .,10,kif.cha,4728
488,kif,I can't climb it (.) .,4,kif.cha,4732
489,kif,xxx we're gonna get up better I can't get up (.) .,10,kif.cha,4735
490,kif,that were easy .,3,kif.cha,4738
491,kif,I'm not getting down (.) .,4,kif.cha,4741
492,kif,&~a:h haha xxx (.) .,4,kif.cha,4744
