utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
37802,37782,MOT,Ethan,50,"flies , that's right . 2989853_2991525",flies that's right,3,5,3,3,3,3,3,Ethan/021101.cha,4005,35.033,spaghetti ?,run and jump run and jump spaghetti ?,the frog . run and jump run and jump spaghetti ?
37803,37783,MOT,Ethan,50,what did we put in his mouth before ? 2991526_2996303,what did we put in his mouth before,8,9,9,10,9,9,8,Ethan/021101.cha,4008,35.033,flies that's right,spaghetti ? flies that's right,run and jump run and jump spaghetti ? flies that's right
37804,37784,MOT,Ethan,50,remember ?,remember ?,1,1,3,3,3,3,1,Ethan/021101.cha,4011,35.033,what did we put in his mouth before,flies that's right what did we put in his mouth before,spaghetti ? flies that's right what did we put in his mouth before
37805,37785,MOT,Ethan,50,we were putting things in his mouth .,we were putting things in his mouth .,7,8,8,9,8,8,7,Ethan/021101.cha,4014,35.033,remember ?,what did we put in his mouth before remember ?,flies that's right what did we put in his mouth before remember ?
37806,37786,MOT,Ethan,50,pompoms ! 2997873_3000281,pompoms,1,1,2,2,2,2,1,Ethan/021101.cha,4023,35.033,we were putting things in his mouth .,remember ? we were putting things in his mouth .,what did we put in his mouth before remember ? we were putting things in his mouth .
37807,37787,MOT,Ethan,50,"I forgot , that's right .",I forgot that's right .,4,7,5,5,5,5,4,Ethan/021101.cha,4026,35.033,pompoms,we were putting things in his mouth . pompoms,remember ? we were putting things in his mouth . pompoms
37808,37788,MOT,Ethan,50,should we feed him some pompoms ? 3000281_3001971,should we feed him some pompoms,6,6,7,8,7,7,6,Ethan/021101.cha,4029,35.033,I forgot that's right .,pompoms I forgot that's right .,we were putting things in his mouth . pompoms I forgot that's right .
37809,37789,MOT,Ethan,50,we need some black pompoms (be)cause flies are black . 3001973_3011050,we need some black pompoms cause flies are black,9,9,10,12,10,10,9,Ethan/021101.cha,4032,35.033,should we feed him some pompoms,I forgot that's right . should we feed him some pompoms,pompoms I forgot that's right . should we feed him some pompoms
37810,37790,MOT,Ethan,50,do we have any black pompoms ?,do we have any black pompoms ?,6,6,7,8,7,7,6,Ethan/021101.cha,4038,35.033,we need some black pompoms cause flies are black,should we feed him some pompoms we need some black pompoms cause flies are black,I forgot that's right . should we feed him some pompoms we need some black pompoms cause flies are black
37811,37791,MOT,Ethan,50,no .,no .,1,1,1,1,1,1,1,Ethan/021101.cha,4041,35.033,do we have any black pompoms ?,we need some black pompoms cause flies are black do we have any black pompoms ?,should we feed him some pompoms we need some black pompoms cause flies are black do we have any black pompoms ?
37812,37792,MOT,Ethan,50,a boinga@o boinga@o boing .,a boinga boinga boing .,4,5,6,6,6,6,4,Ethan/021101.cha,4049,35.033,no .,do we have any black pompoms ? no .,we need some black pompoms cause flies are black do we have any black pompoms ? no .
37813,37793,MOT,Ethan,50,I think it might be +... 3020973_3028978,I think it might be,5,6,5,5,5,5,5,Ethan/021101.cha,4053,35.033,a boinga boinga boing .,no . a boinga boinga boing .,do we have any black pompoms ? no . a boinga boinga boing .
37814,37794,MOT,Ethan,50,none of his friends are around .,none of his friends are around .,6,6,7,8,7,7,6,Ethan/021101.cha,4056,35.033,I think it might be,a boinga boinga boing . I think it might be,no . a boinga boinga boing . I think it might be
37815,37795,MOT,Ethan,50,yep [: yes] .,yep .,1,1,1,1,1,1,1,Ethan/021101.cha,4065,35.033,none of his friends are around .,I think it might be none of his friends are around .,a boinga boinga boing . I think it might be none of his friends are around .
37816,37796,MOT,Ethan,50,"I think so , (be)cause he jumps right ? 3040318_3044258",I think so cause he jumps right,7,8,7,8,7,7,7,Ethan/021101.cha,4073,35.033,yep .,none of his friends are around . yep .,I think it might be none of his friends are around . yep .
37817,37797,MOT,Ethan,50,is it a jumping bean ?,is it a jumping bean ?,5,6,6,6,6,6,5,Ethan/021101.cha,4076,35.033,I think so cause he jumps right,yep . I think so cause he jumps right,none of his friends are around . yep . I think so cause he jumps right
37818,37798,MOT,Ethan,50,na:h .,na:h .,2,1,2,2,2,2,2,Ethan/021101.cha,4085,35.033,is it a jumping bean ?,I think so cause he jumps right is it a jumping bean ?,yep . I think so cause he jumps right is it a jumping bean ?
37819,37799,MOT,Ethan,50,what abou:t a: +//?,what abou:t a ?,4,4,5,5,5,5,4,Ethan/021101.cha,4093,35.033,na:h .,is it a jumping bean ? na:h .,I think so cause he jumps right is it a jumping bean ? na:h .
37820,37800,MOT,Ethan,50,what other animals jump ?,what other animals jump ?,4,4,7,7,7,7,4,Ethan/021101.cha,4096,35.033,what abou:t a ?,na:h . what abou:t a ?,is it a jumping bean ? na:h . what abou:t a ?
37821,37801,MOT,Ethan,50,"o:h , kangaroos jump , frogs jump +... 3050611_3055321",o:h kangaroos jump frogs jump,6,8,8,8,8,8,6,Ethan/021101.cha,4099,35.033,what other animals jump ?,what abou:t a ? what other animals jump ?,na:h . what abou:t a ? what other animals jump ?
37822,37802,MOT,Ethan,50,"hm: , I'm thinking . 3055321_3057778",hm I'm thinking,3,5,4,4,4,4,3,Ethan/021101.cha,4102,35.033,o:h kangaroos jump frogs jump,what other animals jump ? o:h kangaroos jump frogs jump,what abou:t a ? what other animals jump ? o:h kangaroos jump frogs jump
37823,37803,MOT,Ethan,50,think [/] think [/] think [/] think [/] think .,think think think think think .,5,1,5,5,5,5,5,Ethan/021101.cha,4105,35.033,hm I'm thinking,o:h kangaroos jump frogs jump hm I'm thinking,what other animals jump ? o:h kangaroos jump frogs jump hm I'm thinking
37824,37804,MOT,Ethan,50,is it a monke:y ?,is it a monke:y ?,5,4,5,6,5,5,5,Ethan/021101.cha,4111,35.033,think think think think think .,hm I'm thinking think think think think think .,o:h kangaroos jump frogs jump hm I'm thinking think think think think think .
